source_image,particle_id,area,perimeter,eccentricity,solidity,equivalent_diameter,centroid_x,centroid_y,min_intensity,max_intensity,mean_intensity
11500X00.png,329,12.0,10.0,0.6831300510639732,1.0,3.9088200952233594,1.0,256.5,0.6396914720535278,0.8309255838394165,0.72512656
11500X00.png,330,145.0,49.55634918610404,0.7693602907446316,0.8895705521472392,13.58748446131949,100.06896551724138,251.91034482758621,0.631243884563446,0.9340107440948486,0.73069596
11500X00.png,331,75.0,32.7634559672906,0.7818638967490281,0.9375,9.772050238058398,174.24,256.3066666666667,0.6458129286766052,0.9083619117736816,0.79964167
11500X00.png,332,67.0,43.07106781186547,0.9844364886962114,0.9305555555555556,9.23618154310838,256.34328358208955,256.7014925373134,0.7089862823486328,0.9954088926315308,0.8857409
11500X00.png,333,48.0,35.071067811865476,0.9841415603630745,0.8888888888888888,7.817640190446719,265.5208333333333,255.375,0.7121082544326782,0.997000515460968,0.93984145
11500X00.png,334,86.0,36.384776310850235,0.7167461145433741,0.8775510204081632,10.464157913908982,134.7325581395349,257.1162790697674,0.6336924433708191,0.8415156602859497,0.7214107
11500X00.png,335,20.0,13.65685424949238,0.638168270197698,1.0,5.046265044040321,148.95,257.25,0.6331415176391602,0.8564519882202148,0.7375582
11500X00.png,336,181.0,55.00609665440988,0.545309788886131,0.9095477386934674,15.180789096653193,248.61325966850828,254.84530386740332,0.6488736271858215,0.9986532926559448,0.9305992
11500X00.png,337,31.0,28.82842712474619,0.9907264112439259,0.8378378378378378,6.282549314314218,268.2903225806452,252.6451612903226,0.6628917455673218,0.997000515460968,0.9263076
11500X00.png,338,39.0,21.071067811865476,0.7071399822977537,0.9512195121951219,7.046725639945928,30.205128205128204,257.7435897435897,0.645017147064209,0.917850136756897,0.79914737
11500X00.png,339,183.0,54.42031021678297,0.6840170836145703,0.8926829268292683,15.26443044094783,197.8087431693989,259.4808743169399,0.5994735360145569,0.9964495301246643,0.85144645
11500X00.png,340,28.0,19.65685424949238,0.8368103834551209,0.875,5.970821321441846,369.82142857142856,259.82142857142856,0.6323457360267639,0.8414544463157654,0.71954805
11500X00.png,341,129.0,45.31370849898476,0.7556512210600479,0.8958333333333334,12.815923738491737,100.68992248062015,262.08527131782944,0.6354677081108093,0.983778178691864,0.8181972
11500X00.png,342,35.0,20.485281374238568,0.7462870906791341,0.9210526315789473,6.6755811781245455,182.71428571428572,261.74285714285713,0.6321620941162109,0.9552522301673889,0.7544704
11500X00.png,343,79.0,37.071067811865476,0.9255053644950898,0.9404761904761905,10.02925341359355,83.69620253164557,260.2025316455696,0.5964740514755249,0.9974290132522583,0.8165648
11500X00.png,344,124.0,43.86396103067892,0.8797031922753683,0.9393939393939394,12.565098628628435,90.48387096774194,262.0967741935484,0.575355052947998,0.9974290132522583,0.79282147
11500X00.png,345,176.0,49.79898987322333,0.6164786467906029,0.9312169312169312,14.96964127403822,220.26136363636363,260.5625,0.614409863948822,0.9777791500091553,0.78495765
11500X00.png,346,257.0,60.72792206135785,0.47849170251390755,0.969811320754717,18.089294154193436,407.7237354085603,258.49805447470817,0.6180827617645264,0.9982860088348389,0.8338815
11500X00.png,347,44.0,25.31370849898476,0.7669838802451451,0.8627450980392157,7.48482063701911,150.88636363636363,263.75,0.6348555088043213,0.9712904095649719,0.7652939
11500X00.png,348,15.0,12.414213562373096,0.955076820277326,0.8823529411764706,4.370193722368317,203.0,263.0,0.5981268286705017,0.7014569044113159,0.648686
11500X00.png,349,566.0,130.56244584051393,0.9249712472637317,0.7669376693766937,26.844991754889815,272.0053003533569,267.934628975265,0.6120837330818176,0.9994490742683411,0.868447
